n,MotherID,FatherID,Zygosity
100808,200376,300376,NotMZ
100809,200275,300275,NotTwin
100810,200154,300154,NotTwin
100811,200458,300458,NotTwin
100812,200160,300160,NotMZ
100813,200202,300202,NotMZ
100814,200020,300020,NotTwin
100815,200268,300268,NotTwin
100816,200144,300144,NotMZ
100817,200459,300459,NotTwin
100818,200189,300189,NotMZ
100819,200397,300397,NotMZ
100820,200177,300177,MZ
100821,200434,300434,NotTwin
100822,200326,300326,NotTwin
100823,200233,300233,NotTwin
100824,200451,300451,NotTwin
100825,200421,300421,NotMZ
100826,200278,300278,MZ
100827,200030,300030,NotTwin
100828,200426,300426,MZ
100829,200293,300293,NotMZ
100830,200400,300400,MZ
100831,200445,300445,NotMZ
100832,200432,300432,NotTwin
100833,200132,300132,MZ
100834,200333,300333,NotTwin
100835,200458,300458,NotTwin
100836,200412,300412,NotMZ
100837,200366,300366,NotTwin
100838,200061,300061,NotTwin
100839,200455,300455,NotMZ
100840,200252,300252,NotMZ
100841,200357,300357,NotMZ
100842,200111,300111,NotTwin
100843,200456,300456,NotTwin
100844,200358,300358,NotTwin
100845,200270,300270,NotTwin
100846,200407,300407,NotTwin
100847,200439,300439,NotTwin
100848,200460,300460,MZ
100849,200461,300461,MZ
100850,200462,300462,MZ
100851,200444,300444,NotTwin
100852,200286,300286,NotMZ
100853,200181,300181,NotTwin
100854,200446,300446,NotTwin
100855,200410,300410,MZ
100856,200463,300463,NotTwin
100857,200076,300076,NotTwin
100858,200382,300382,NotTwin
100859,200452,300452,NotMZ
100860,200399,300399,NotMZ
100861,200342,300342,NotTwin
100862,200150,300150,NotMZ
100863,200464,300464,NotTwin
100864,200271,300271,MZ
100865,200200,300200,MZ
100866,200250,300250,NotTwin
100867,200460,300460,MZ
100868,200457,300457,NotTwin
100869,200352,300352,NotMZ
100870,200462,300462,MZ
100871,200420,300420,NotMZ
100872,200226,300226,MZ
100873,200347,300347,NotTwin
100874,200343,300343,MZ
100875,200281,300281,MZ
100876,200010,300010,NotMZ
100877,200107,300107,MZ
100878,200390,300390,NotMZ
100879,200461,300461,MZ
100880,200408,300408,NotTwin
100881,200423,300423,NotMZ
100882,200406,300406,NotMZ
100883,200044,300044,NotTwin
100884,200133,300133,NotMZ
100885,200320,300320,NotMZ
100886,200450,300450,NotTwin
100887,200389,300389,NotTwin
100888,200313,300313,MZ
100889,200257,300257,NotMZ
100890,200463,300463,NotTwin
100891,200168,300168,NotTwin
100892,200465,300465,NotMZ
100893,200387,300387,NotTwin
100894,200459,300459,NotTwin
100895,200393,300393,NotMZ
100896,200114,300114,NotTwin
100897,200394,300394,NotMZ
100898,200162,300162,NotTwin
100899,200081,300081,NotTwin
100900,200115,300115,NotMZ
100901,200465,300465,NotMZ
100902,200110,300110,NotMZ
100903,200447,300447,NotTwin
100904,200373,300373,MZ
100905,200449,300449,NotTwin
100906,200301,300301,NotTwin
100907,200037,300037,MZ
100908,200385,300385,NotTwin
100909,200409,300409,NotMZ
100910,200338,300338,NotMZ
100911,200430,300430,NotMZ
100912,200251,300251,NotMZ
100913,200031,300031,NotMZ
100914,200440,300440,NotMZ
100915,200427,300427,NotTwin
100916,200149,300149,NotMZ
100917,200417,300417,MZ
100918,200316,300316,MZ
100919,200179,300179,NotMZ
100920,200220,300220,NotTwin
100921,200317,300317,MZ
100922,200415,300415,MZ
100923,200057,300057,NotTwin
100924,200346,300346,MZ
